2024 FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Ohio,Tim Albin,Ohio State,Notre Dame,Texas,Penn State,Oregon,Georgia,Arizona State,Indiana,Tennessee,SMU,Clemson,Boise State,BYU,Iowa State,Ole Miss,Army,Illinois,Missouri,Miami,Syracuse,Ohio,Memphis,UNLV,Alabama,Navy
South Alabama,Major Applewhite,Ohio State,Notre Dame,Texas,Oregon,Penn State,Georgia,Arizona State,Boise State,Tennessee,Indiana,Ole Miss,SMU,BYU,Clemson,Iowa State,Alabama,Illinois,Miami,South Carolina,Syracuse,Army,Missouri,UNLV,Memphis,Colorado
Coastal Carolina,Tim Beck,Ohio State,Notre Dame,Texas,Oregon,Penn State,Georgia,Arizona State,Tennessee,Boise State,SMU,Clemson,Indiana,Ole Miss,BYU,Iowa State,Illinois,Miami,Missouri,South Carolina,Alabama,Syracuse,Army,Colorado,UNLV,Memphis
Rice,Mike Bloomgren,Ohio State,Notre Dame,Texas,Oregon,Penn State,Arizona State,Georgia,Boise State,Indiana,Ole Miss,Clemson,Tennessee,BYU,SMU,Alabama,Illinois,Iowa State,Army,South Carolina,Missouri,Memphis,Syracuse,Miami (Fla),UNLV,Colorado
Northwestern,David Braun,Ohio State,Notre Dame,Oregon,Penn State,Georgia,Texas,Boise State,Arizona State,Indiana,Tennessee,SMU,Clemson,Iowa State,Ole Miss,Illinois,BYU,Miami,Alabama,South Carolina,Kansas State,Missouri,Syracuse,Army,UNLV,Memphis
Louisville,Jeff Brohm,Ohio State,Notre Dame,Texas,Penn State,Oregon,Georgia,Arizona State,Indiana,Boise State,Clemson,Tennessee,SMU,Ole Miss,Missouri,Iowa State,Miami,Illinois,Alabama,BYU,South Carolina,Army,Syracuse,Louisville,Memphis,UNLV
Syracuse,Fran Brown,Ohio State,Notre Dame,Oregon,Texas,Penn State,Georgia,Boise State,Arizona State,Indiana,Tennessee,Ole Miss,Clemson,SMU,BYU,Iowa State,Illinois,Syracuse,Army,Miami,Missouri,South Carolina,Alabama,Colorado,Memphis,UNLV
West Virginia,Neal Brown,Ohio State,Notre Dame,Penn State,Texas,Oregon,Georgia,Arizona State,Indiana,Boise State,Tennessee,Clemson,SMU,Iowa State,BYU,Ole Miss,Miami,Illinois,Army,South Carolina,Missouri,Syracuse,Alabama,Memphis,UNLV,LSU
Air Force,Troy Calhoun,Ohio State,Oregon,Notre Dame,Georgia,Texas,Penn State,Tennessee,Ole Miss,Indiana,Arizona State,Alabama,Illinois,South Carolina,Boise State,Clemson,LSU,SMU,Iowa State,UNLV,Missouri,Miami,BYU,Colorado,TCU,Navy
Liberty,Jamey Chadwell,Ohio State,Notre Dame,Texas,Penn State,Georgia,Oregon,Arizona State,Clemson,Boise State,Indiana,Tennessee,SMU,Ole Miss,Illinois,Army,BYU,Syracuse,Memphis,Miami,South Carolina,Missouri,Iowa State,UNLV,Alabama,Colorado
