2022 FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Northwestern,Pat Fitzgerald,Georgia,TCU,Ohio State,Michigan,Tennessee,Alabama,Penn State,Utah,Clemson,Tulane,Washington,LSU,Kansas State,Florida State,USC,Oregon State,Notre Dame,Oregon,South Carolina,Mississippi State,UCLA,Texas,Troy,Air Force,Duke
Penn State,James Franklin,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Utah,Tulane,USC,Kansas State,Clemson,Florida State,LSU,Oregon State,Oregon,Notre Dame,Mississippi State,Minnesota,UCLA,Iowa,South Carolina,Texas,Troy
Notre Dame,Marcus Freeman,Georgia,Ohio State,Alabama,Michigan,TCU,Tennessee,Penn State,Washington,Tulane,USC,Florida State,LSU,Oregon,Oregon State,Notre Dame,Kansas State,Utah,Clemson,Pittsburgh,UCLA,Mississippi State,South Carolina,Troy,Texas Tech,Duke
Liberty,Hugh Freeze,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Washington,Tulane,Utah,Florida State,Clemson,Oregon,LSU,USC,Oregon State,Notre Dame,Mississippi State,Troy,South Carolina,UTSA,Texas,Pittsburgh,UCLA,Fresno State
Tulane,Willie Fritz,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Tulane,Penn State,Washington,Utah,Florida State,USC,Kansas State,LSU,Clemson,Oregon,Oregon State,Notre Dame,UCLA,Troy,South Carolina,Texas,Fresno State,Air Force,Ohio
New Mexico,Danny Gonzales,Georgia,TCU,Michigan,Ohio State,Alabama,Penn State,Tennessee,Washington,LSU,Tulane,Florida State,Kansas State,Clemson,Utah,USC,Oregon State,Oregon,Fresno State,Air Force,Notre Dame,South Carolina,UCLA,Troy,Mississippi State,Boise State
Boston College,Jeff Hafley,Georgia,Ohio State,Michigan,Alabama,TCU,Tennessee,Penn State,Washington,Florida State,Tulane,Oregon,Clemson,Utah,USC,LSU,Oregon State,Kansas State,Notre Dame,Mississippi State,Pittsburgh,Troy,Fresno State,UCLA,Texas,Minnesota
Southern Mississippi,Will Hall,Georgia,Michigan,Ohio State,Alabama,Tennessee,TCU,Penn State,Washington,Florida State,Tulane,Utah,USC,Oregon,Clemson,LSU,Oregon State,Kansas State,Notre Dame,Troy,Mississippi State,UCLA,Pittsburgh,South Carolina,Duke,Fresno State
Northern Illinois,Thomas Hammock,Georgia,TCU,Ohio State,Michigan,Alabama,Tennessee,Penn State,Washington,Tulane,Utah,Florida State,USC,Clemson,Kansas State,Oregon,LSU,Oregon State,Notre Dame,Troy,Mississippi State,UCLA,Pittsburgh,South Carolina,Fresno State,Texas
Western Kentucky,Tyson Helton,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Florida State,Tulane,Utah,USC,Clemson,Kansas State,LSU,Oregon,Oregon State,Notre Dame,Mississippi State,Troy,UCLA,Pittsburgh,South Carolina,UTSA,Air Force
San Diego State,Brady Hoke,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Utah,Kansas State,Washington,Tulane,USC,Oregon,Clemson,LSU,Texas,Florida State,Oregon State,Notre Dame,Mississippi State,Fresno State,Troy,UCLA,Boise State,Air Force
