2019 Week 15,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Rutgers,Chris Ash,Ohio State,LSU,Clemson,Oklahoma,Oregon,Baylor,Florida,Georgia,Wisconsin,Alabama,Utah,Auburn,Michigan,Notre Dame,Penn State,Memphis,Boise State,Minnesota,Iowa,Cincinnati,Navy,App State,Air Force,UCF,Virginia
Syracuse,Dino Babers,LSU,Ohio State,Clemson,Oklahoma,Oregon,Georgia,Alabama,Florida,Utah,Wisconsin,Baylor,Auburn,Minnesota,Penn State,Notre Dame,Iowa,Memphis,Boise State,App State,Michigan,Cincinnati,Kansas State,Virginia,SMU,Navy
Wyoming,Craig Bohl,LSU,Ohio State,Clemson,Oklahoma,Georgia,Baylor,Florida,Alabama,Oregon,Boise State,Utah,Penn State,Wisconsin,Notre Dame,Memphis,Minnesota,Navy,Air Force,Auburn,Iowa,App State,Michigan,USC,Cincinnati,San Diego State
Purdue,Jeff Brohm,Ohio State,LSU,Clemson,Oklahoma,Baylor,Wisconsin,Penn State,Georgia,Florida,Auburn,Alabama,Oregon,Utah,Memphis,Iowa,Minnesota,Michigan,Notre Dame,Boise State,App State,Cincinnati,Navy,Air Force,USC,Virginia
West Virginia,Neal Brown,LSU,Ohio State,Clemson,Oklahoma,Alabama,Georgia,Baylor,Florida,Oregon,Utah,Notre Dame,Penn State,Auburn,Wisconsin,Minnesota,Memphis,App State,Boise State,Michigan,Iowa,Navy,USC,Oklahoma State,Kansas State,Air Force
Air Force,Troy Calhoun,LSU,Ohio State,Clemson,Oklahoma,Alabama,Georgia,Florida,Auburn,Oregon,Notre Dame,Utah,Wisconsin,Baylor,Penn State,Memphis,Michigan,Boise State,Minnesota,Iowa,Navy,Air Force,App State,SMU,USC,Oklahoma State
South Alabama,Steve Campbell,LSU,Ohio State,Clemson,Oklahoma,Florida,Georgia,Oregon,Baylor,Utah,Alabama,Wisconsin,Penn State,Auburn,Memphis,Notre Dame,Minnesota,Boise State,Michigan,App State,Iowa,Cincinnati,Navy,Louisiana,Air Force,USC
Temple,Rod Carey,LSU,Ohio State,Clemson,Oklahoma,Georgia,Baylor,Oregon,Auburn,Florida,Alabama,Wisconsin,Penn State,Utah,Notre Dame,Memphis,Minnesota,Michigan,Iowa,Boise State,App State,USC,Virginia,Kansas State,Oklahoma State,Air Force
Coastal Carolina,Jamey Chadwell,LSU,Clemson,Ohio State,Oklahoma,Georgia,Florida,Penn State,Alabama,Oregon,Utah,Notre Dame,Auburn,Baylor,Wisconsin,Memphis,Minnesota,Boise State,Michigan,Iowa,App State,Navy,Florida Atlantic,Air Force,Cincinnati,Louisiana
Georgia Tech,Geoff Collins,LSU,Ohio State,Clemson,Oklahoma,Baylor,Georgia,Florida,Alabama,Utah,Penn State,Oregon,Notre Dame,Auburn,Boise State,Memphis,Wisconsin,Minnesota,App State,Michigan,Iowa,USC,Navy,Air Force,Cincinnati,Oklahoma State
Duke,David Cutcliffe,Clemson,LSU,Ohio State,Oklahoma,Baylor,Alabama,Georgia,Notre Dame,Florida,Auburn,Oregon,Utah,Memphis,Wisconsin,Penn State,Minnesota,Boise State,Michigan,App State,Iowa,Virginia,Cincinnati,Navy,Air Force,Virginia Tech
Michigan State,Mark Dantonio,Ohio State,LSU,Clemson,Oklahoma,Alabama,Penn State,Georgia,Florida,Baylor,Wisconsin,Oregon,Minnesota,Auburn,Utah,Michigan,Notre Dame,Memphis,Boise State,Iowa,App State,Cincinnati,Navy,Air Force,USC,Virginia
Florida International,Butch Davis,LSU,Ohio State,Clemson,Oklahoma,Alabama,Florida,Georgia,Oregon,Baylor,Wisconsin,Utah,Auburn,Penn State,Michigan,Notre Dame,Memphis,Minnesota,Cincinnati,Boise State,Iowa,USC,Navy,UCF,Air Force,App State
Ohio State,Ryan Day,Ohio State,LSU,Clemson,Oklahoma,Georgia,Utah,Baylor,Wisconsin,Penn State,Oregon,Florida,Auburn,Alabama,Michigan,Notre Dame,Memphis,Iowa,Minnesota,Boise State,Cincinnati,App State,USC,Virginia,Navy,Oklahoma State
Miami,Manny Diaz,LSU,Clemson,Ohio State,Oklahoma,Alabama,Georgia,Baylor,Oregon,Florida,Notre Dame,Penn State,Michigan,Auburn,Utah,Wisconsin,Minnesota,Memphis,Boise State,Iowa,USC,Virginia,Cincinnati,App State,Air Force,Virginia Tech
Wyoming,Dana Dimel,Ohio State,LSU,Clemson,Oklahoma,Penn State,Florida,Oregon,Baylor,Georgia,Auburn,Alabama,Notre Dame,Utah,Minnesota,Iowa,Wisconsin,Memphis,Boise State,Michigan,USC,App State,Air Force,Navy,SMU,Oklahoma State
NC State,Dave Doeren,Ohio State,LSU,Clemson,Oklahoma,Georgia,Utah,Baylor,Wisconsin,Penn State,Oregon,Florida,Auburn,Alabama,Michigan,Notre Dame,Memphis,Iowa,Minnesota,Boise State,Cincinnati,App State,USC,Virginia,Navy,Oklahoma State
Louisiana Tech,Sonny Dykes,LSU,Ohio State,Clemson,Oklahoma,Baylor,Oregon,Utah,Georgia,Alabama,Wisconsin,Florida,Auburn,Minnesota,Notre Dame,Penn State,Memphis,Cincinnati,Boise State,App State,Navy,SMU,Air Force,Michigan,Iowa,Florida Atlantic
Texas A&M,Jimbo Fisher,LSU,Ohio State,Clemson,Oklahoma,Alabama,Georgia,Florida,Oregon,Baylor,Auburn,Wisconsin,Penn State,Utah,Notre Dame,Memphis,Minnesota,Boise State,App State,Michigan,Iowa,Cincinnati,Navy,Air Force,Oklahoma State,SMU
Northwestern,Pat Fitzgerald,Ohio State,LSU,Clemson,Oklahoma,Oregon,Wisconsin,Georgia,Baylor,Utah,Penn State,Florida,Auburn,Alabama,Minnesota,Notre Dame,Memphis,Boise State,Iowa,Michigan,App State,Indiana,Navy,USC,Air Force,Virginia
Penn State,James Franklin,Ohio State,LSU,Clemson,Oklahoma,Georgia,Oregon,Penn State,Wisconsin,Florida,Baylor,Auburn,Alabama,Michigan,Minnesota,Utah,Notre Dame,Iowa,Memphis,App State,Boise State,Cincinnati,Virginia,Indiana,Kansas State,Navy
Liberty,Hugh Freeze,LSU,Ohio State,Clemson,Oklahoma,Florida,Auburn,Alabama,Penn State,Oregon,Georgia,Baylor,Notre Dame,Utah,Minnesota,Memphis,Boise State,Wisconsin,App State,Michigan,Iowa,Navy,USC,Air Force,Cincinnati,Virginia
Tulane,Willie Fritz,LSU,Ohio State,Clemson,Oklahoma,Georgia,Oregon,Baylor,Florida,Wisconsin,Penn State,Auburn,Alabama,Utah,Michigan,Notre Dame,Memphis,Iowa,Minnesota,Boise State,App State,Cincinnati,USC,Navy,Oklahoma State,Virginia
Nebraska,Scott Frost,Ohio State,LSU,Clemson,Oklahoma,Penn State,Georgia,Wisconsin,Baylor,Alabama,Florida,Auburn,Oregon,Michigan,Minnesota,Utah,Iowa,Notre Dame,Memphis,Boise State,App State,USC,Cincinnati,Navy,SMU,Air Force
Virginia Tech,Justin Fuente,LSU,Ohio State,Clemson,Oklahoma,Oregon,Baylor,Georgia,Utah,Auburn,Alabama,Wisconsin,Penn State,Memphis,Boise State,Michigan,Florida,Notre Dame,Iowa,Minnesota,App State,Cincinnati,Air Force,Iowa State,Indiana,Virginia
Northern Illinois,Thomas Hammock,Ohio State,LSU,Clemson,Oklahoma,Alabama,Florida,Georgia,Baylor,Oregon,Penn State,Auburn,Utah,Wisconsin,Minnesota,Notre Dame,Memphis,Michigan,Boise State,Iowa,App State,Navy,USC,SMU,Oklahoma State,Cincinnati
Boise State,Bryan Harsin,LSU,Clemson,Ohio State,Oklahoma,Oregon,Georgia,Baylor,Utah,Wisconsin,Florida,Penn State,Auburn,Alabama,Notre Dame,Michigan,Boise State,Memphis,App State,Minnesota,Iowa,Air Force,USC,Navy,Oklahoma State,Virginia
USC,Clay Helton,LSU,Ohio State,Clemson,Oklahoma,Georgia,Baylor,Wisconsin,Oregon,Utah,Florida,Penn State,Auburn,Alabama,Memphis,Michigan,Notre Dame,Iowa,Boise State,Minnesota,App State,Cincinnati,USC,Navy,Oklahoma State,Air Force
Western Kentucky,Tyson Helton,LSU,Ohio State,Clemson,Oklahoma,Oregon,Georgia,Florida,Alabama,Baylor,Auburn,Wisconsin,Utah,Penn State,Minnesota,Michigan,Notre Dame,Memphis,Iowa,Boise State,App State,Navy,USC,Virginia,Cincinnati,Oklahoma State
Texas,Tom Herman,LSU,Ohio State,Clemson,Oklahoma,Georgia,Baylor,Florida,Oregon,Wisconsin,Utah,Auburn,Alabama,Notre Dame,Minnesota,Penn State,Memphis,Michigan,Boise State,Iowa,App State,USC,Navy,Cincinnati,Oklahoma State,SMU
Marshall,Doc Holliday,LSU,Ohio State,Clemson,Oklahoma,Alabama,Georgia,Baylor,Oregon,Florida,Auburn,Wisconsin,Utah,Penn State,Notre Dame,Minnesota,Memphis,Boise State,Michigan,Iowa,App State,Navy,USC,Air Force,SMU,Virginia
Southern Mississippi,Jay Hopson,LSU,Ohio State,Clemson,Oklahoma,Oregon,Georgia,Baylor,Wisconsin,Utah,Florida,Penn State,Auburn,Alabama,Michigan,Memphis,Boise State,Notre Dame,Iowa,Minnesota,App State,USC,Cincinnati,Navy,Oklahoma State,Air Force
East Carolina,Mike Houston,LSU,Ohio State,Clemson,Oklahoma,Alabama,Florida,Penn State,Baylor,Georgia,Auburn,Notre Dame,Oregon,Memphis,Utah,Wisconsin,Minnesota,Michigan,Boise State,Cincinnati,Iowa,Navy,App State,Air Force,Virginia,SMU
Washington State,Mike Leach,LSU,Ohio State,Clemson,Oklahoma,Oregon,Georgia,Utah,Florida,Auburn,Baylor,Wisconsin,Alabama,Penn State,Michigan,Notre Dame,Minnesota,Boise State,Iowa,USC,Memphis,App State,Navy,SMU,Oklahoma State,California
Buffalo,Lance Leipold,Ohio State,LSU,Clemson,Oklahoma,Georgia,Florida,Baylor,Alabama,Oregon,Wisconsin,Utah,Auburn,Penn State,Notre Dame,Memphis,Minnesota,Michigan,Boise State,Iowa,App State,Navy,USC,Air Force,Oklahoma State,Cincinnati
Western Michigan,Tim Lester,Clemson,LSU,Ohio State,Oklahoma,Georgia,Oregon,Florida,Utah,Notre Dame,Wisconsin,Auburn,Alabama,Baylor,Memphis,Penn State,App State,Iowa,Boise State,Minnesota,Navy,Air Force,USC,Michigan,Louisiana,Virginia
Troy,Chip Lindsey,LSU,Ohio State,Clemson,Oklahoma,Georgia,Oregon,Florida,Baylor,Utah,Penn State,Auburn,Alabama,Wisconsin,Minnesota,Notre Dame,App State,Memphis,Boise State,Michigan,Iowa,Air Force,Navy,USC,Cincinnati,Virginia
North Texas,Seth Littrell,LSU,Ohio State,Clemson,Oklahoma,Oregon,Georgia,Baylor,Florida,Penn State,Alabama,Utah,Auburn,Wisconsin,Notre Dame,Memphis,Boise State,Minnesota,Iowa,Michigan,App State,Navy,Air Force,USC,SMU,Cincinnati
Bowling Green,Scot Loeffler,Ohio State,LSU,Clemson,Oklahoma,Penn State,Georgia,Alabama,Florida,Oregon,Utah,Wisconsin,Minnesota,Auburn,Michigan,Notre Dame,Baylor,Memphis,Iowa,Boise State,App State,Air Force,Navy,SMU,Cincinnati,Oklahoma State
San Diego State,Rocky Long,LSU,Ohio State,Clemson,Oklahoma,Georgia,Florida,Auburn,Penn State,Oregon,Alabama,Utah,Baylor,Wisconsin,Notre Dame,Michigan,Minnesota,Iowa,Boise State,Memphis,App State,Air Force,Cincinnati,Oklahoma State,Navy,SMU
Georgia Southern,Chad Lunsford,LSU,Ohio State,Clemson,Oklahoma,Oregon,Florida,Georgia,Baylor,Penn State,Wisconsin,Auburn,Utah,Alabama,Notre Dame,Minnesota,Michigan,Memphis,Boise State,App State,Iowa,Cincinnati,Navy,USC,Air Force,Oklahoma State
Auburn,Gus Malzahn,LSU,Ohio State,Clemson,Oklahoma,Georgia,Florida,Auburn,Oregon,Alabama,Utah,Baylor,Wisconsin,Minnesota,Penn State,Memphis,Boise State,App State,Michigan,Notre Dame,Iowa,Air Force,SMU,Cincinnati,Navy,Oklahoma State
Miami (OH),Chuck Martin,LSU,Ohio State,Clemson,Oklahoma,Alabama,Georgia,Oregon,Baylor,Wisconsin,Florida,Auburn,Utah,Penn State,Michigan,Notre Dame,Memphis,Iowa,Minnesota,Cincinnati,Boise State,App State,Navy,Air Force,SMU,Virginia
New Mexico State,Doug Martin,LSU,Clemson,Ohio State,Oklahoma,Oregon,Baylor,Georgia,Florida,Utah,Alabama,Boise State,Notre Dame,Memphis,Wisconsin,Iowa,Penn State,Cincinnati,Auburn,Air Force,SMU,Minnesota,Oklahoma State,Kansas State,Michigan,San Diego State
Army,Jeff Monken,Clemson,Ohio State,LSU,Oklahoma,Baylor,Georgia,Florida,Wisconsin,Penn State,Oregon,Auburn,Alabama,Utah,Michigan,Notre Dame,Memphis,Iowa,Minnesota,Boise State,App State,USC,Cincinnati,Navy,Kansas State,Oklahoma State
Tulsa,Phillip Montgomery,LSU,Ohio State,Clemson,Oklahoma,Georgia,Oregon,Florida,Alabama,Baylor,Utah,Memphis,Penn State,Wisconsin,Auburn,Notre Dame,Minnesota,Boise State,Michigan,Iowa,App State,Navy,Cincinnati,SMU,USC,Air Force
Florida,Dan Mullen,LSU,Clemson,Ohio State,Oklahoma,Georgia,Florida,Auburn,Baylor,Oregon,Alabama,Utah,Memphis,Penn State,Wisconsin,Boise State,Michigan,Notre Dame,Virginia,Iowa,Minnesota,Cincinnati,Tennessee,Kentucky,Oklahoma State,UCF
Navy,Ken Niumatalolo,LSU,Clemson,Ohio State,Oklahoma,Georgia,Baylor,Wisconsin,Florida,Penn State,Auburn,Alabama,Oregon,Utah,Michigan,Notre Dame,Memphis,Minnesota,Boise State,Navy,Cincinnati,SMU,Air Force,App State,USC,Virginia
LSU,Ed Orgeron,LSU,Ohio State,Clemson,Oklahoma,Georgia,Florida,Oregon,Alabama,Wisconsin,Baylor,Utah,Auburn,Notre Dame,Minnesota,Penn State,Michigan,Memphis,Boise State,Virginia,Iowa,SMU,USC,Arizona State,App State,Navy
TCU,Gary Patterson,LSU,Ohio State,Clemson,Oklahoma,Baylor,Georgia,Utah,Wisconsin,Florida,Penn State,Oregon,Auburn,Alabama,Michigan,Notre Dame,Memphis,Iowa,Boise State,Minnesota,Cincinnati,App State,Oklahoma State,Navy,Kansas State,Air Force
Washington,Chris Petersen,LSU,Ohio State,Clemson,Oklahoma,Oregon,Alabama,Florida,Utah,Penn State,Georgia,Wisconsin,Notre Dame,Auburn,Baylor,Minnesota,Boise State,Michigan,Iowa,Memphis,Navy,USC,App State,Cincinnati,Air Force,SMU
Tennessee,Jeremy Pruitt,Clemson,LSU,Ohio State,Oklahoma,Georgia,Oregon,Utah,Baylor,Alabama,Florida,Wisconsin,Auburn,Boise State,Minnesota,Penn State,Notre Dame,Memphis,App State,Iowa,Cincinnati,Michigan,Navy,USC,Virginia,SMU
Baylor,Matt Rhule,LSU,Ohio State,Clemson,Oklahoma,Georgia,Oregon,Baylor,Wisconsin,Florida,Alabama,Auburn,Minnesota,Penn State,Utah,Memphis,Notre Dame,Boise State,Michigan,Iowa,App State,Oklahoma State,Navy,Cincinnati,Air Force,Kansas State
Alabama,Nick Saban,LSU,Ohio State,Clemson,Oklahoma,Alabama,Georgia,Florida,Auburn,Oregon,Baylor,Wisconsin,Penn State,Utah,Michigan,Notre Dame,Iowa,Memphis,Minnesota,Boise State,App State,USC,Cincinnati,Oklahoma State,Navy,Air Force
UNLV,Tony Sanchez,LSU,Ohio State,Clemson,Oklahoma,Oregon,Wisconsin,Georgia,Utah,Baylor,Florida,Notre Dame,Penn State,Auburn,Alabama,Memphis,Boise State,Iowa,Minnesota,Michigan,Air Force,USC,App State,Navy,Cincinnati,Oklahoma State
Georgia,Kirby Smart,LSU,Ohio State,Clemson,Oklahoma,Georgia,Oregon,Florida,Baylor,Utah,Auburn,Alabama,Penn State,Notre Dame,Wisconsin,Minnesota,Memphis,Michigan,Iowa,App State,USC,Boise State,Cincinnati,Oklahoma State,Virginia,Navy
Oregon State,Jonathan Smith,LSU,Ohio State,Clemson,Oklahoma,Georgia,Florida,Alabama,Oregon,Penn State,Utah,Baylor,Auburn,Wisconsin,Memphis,Notre Dame,Minnesota,Boise State,Michigan,Iowa,App State,Navy,USC,Air Force,Virginia,Cincinnati
Ohio,Frank Solich,LSU,Ohio State,Clemson,Oklahoma,Georgia,Oregon,Baylor,Florida,Alabama,Wisconsin,Utah,Auburn,Penn State,Notre Dame,Memphis,Minnesota,Boise State,Michigan,Iowa,App State,Cincinnati,USC,Air Force,Navy,Florida Atlantic
Texas State,Jake Spavital,LSU,Ohio State,Clemson,Oklahoma,Georgia,Oregon,Baylor,Florida,Wisconsin,Penn State,Auburn,Alabama,Utah,Michigan,Memphis,Notre Dame,Iowa,Minnesota,Boise State,App State,Cincinnati,Navy,USC,Virginia,Oklahoma State
Middle Tennessee,Rick Stockstill,LSU,Clemson,Ohio State,Oklahoma,Baylor,Georgia,Florida,Utah,Auburn,Oregon,Penn State,Wisconsin,Alabama,Notre Dame,Minnesota,Memphis,Boise State,Michigan,Iowa,Cincinnati,Navy,Air Force,USC,App State,Hawaii
Arizona,Kevin Sumlin,LSU,Ohio State,Clemson,Oklahoma,Georgia,Florida,Alabama,Oregon,Utah,Wisconsin,Penn State,Auburn,Baylor,Notre Dame,Memphis,Boise State,Minnesota,Michigan,Iowa,App State,Cincinnati,Virginia,Navy,USC,Air Force
Clemson,Dabo Swinney,Clemson,LSU,Ohio State,Oklahoma,Baylor,Oregon,Alabama,Utah,Georgia,Florida,Auburn,Minnesota,Penn State,Notre Dame,Memphis,Boise State,App State,Wisconsin,Michigan,Iowa,Cincinnati,USC,Navy,Air Force,Virginia
Fresno State,Jeff Tedford,Ohio State,LSU,Clemson,Oklahoma,Georgia,Baylor,Florida,Alabama,Oregon,Utah,Wisconsin,Penn State,Notre Dame,Auburn,Minnesota,Boise State,Memphis,Michigan,Iowa,App State,Air Force,Navy,San Diego State,Cincinnati,SMU
Texas Tech,Matt Wells,LSU,Ohio State,Clemson,Oklahoma,Georgia,Florida,Baylor,Alabama,Wisconsin,Auburn,Oregon,Penn State,Utah,Minnesota,Notre Dame,Boise State,Memphis,Michigan,Iowa,App State,Navy,Oklahoma State,Cincinnati,USC,Kansas State
Utah,Kyle Whittingham,Ohio State,LSU,Clemson,Oklahoma,Wisconsin,Oregon,Georgia,Utah,Baylor,Auburn,Alabama,Florida,Penn State,Notre Dame,USC,Minnesota,Iowa,Michigan,Memphis,Boise State,App State,Navy,Cincinnati,SMU,Oklahoma State
