2020 Week 16,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Tulane,Willie Fritz,Alabama,Clemson,Ohio State,Notre Dame,Cincinnati,Texas A&M,Indiana,Florida,Oklahoma,Coastal Carolina,Georgia,Iowa State,Northwestern,BYU,North Carolina,San Jose State,Louisiana,Iowa,Tulsa,Texas,Miami,Liberty,USC,NC State,Oregon
Nebraska,Scott Frost,Alabama,Ohio State,Clemson,Texas A&M,Notre Dame,Cincinnati,Indiana,Oklahoma,Georgia,Northwestern,Iowa State,Iowa,Florida,Coastal Carolina,North Carolina,BYU,Miami,NC State,Oklahoma State,Liberty,San Jose State,USC,Louisiana,Tulsa,Army
Virginia Tech,Justin Fuente,Alabama,Clemson,Notre Dame,Ohio State,Cincinnati,Texas A&M,Indiana,Oklahoma,Coastal Carolina,Iowa State,BYU,Georgia,Florida,Iowa,Northwestern,Louisiana,North Carolina,USC,Army,Miami,San Jose State,NC State,Liberty,Buffalo,Tulsa
Hawaii,Todd Graham,Alabama,Clemson,Ohio State,Texas A&M,Cincinnati,Indiana,Georgia,Oklahoma,Notre Dame,Coastal Carolina,North Carolina,Louisiana,Florida,Miami,BYU,Iowa,Northwestern,Iowa State,Liberty,Oklahoma State,NC State,San Jose State,Tulsa,Colorado,Buffalo
Boston College,Jeff Hafley,Alabama,Clemson,Ohio State,Notre Dame,Oklahoma,Texas A&M,Cincinnati,Florida,Georgia,Indiana,Iowa State,Coastal Carolina,North Carolina,Northwestern,Louisiana,Miami,Iowa,BYU,NC State,San Jose State,Tulsa,Oklahoma State,Army,Oregon,USC
Northern Illinois,Thomas Hammock,Alabama,Clemson,Ohio State,Cincinnati,Texas A&M,Notre Dame,Coastal Carolina,Oklahoma,Georgia,Indiana,Florida,Iowa State,North Carolina,Northwestern,Iowa,Louisiana,Miami,BYU,San Jose State,USC,Liberty,NC State,Texas,Oregon,Army
Boise State,Bryan Harsin,Alabama,Ohio State,Clemson,Cincinnati,Notre Dame,Texas A&M,Coastal Carolina,San Jose State,Indiana,Oklahoma,Georgia,Florida,BYU,Iowa State,Louisiana,USC,North Carolina,Miami,Northwestern,Iowa,Tulsa,Liberty,Ball State,Boise State,NC State
Charlotte,Will Healy,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Florida,Cincinnati,Oklahoma,Indiana,Georgia,North Carolina,Iowa State,Coastal Carolina,BYU,Northwestern,Iowa,Louisiana,San Jose State,Tulsa,Texas,NC State,Oregon,Alabama-Birmingham,Liberty,Army
USC,Clay Helton,Alabama,Clemson,Notre Dame,Ohio State,Texas A&M,Cincinnati,Georgia,Oklahoma,Florida,Iowa State,Indiana,Coastal Carolina,USC,Northwestern,North Carolina,Iowa,BYU,Miami,Texas,San Jose State,Oklahoma State,NC State,Louisiana,Oregon,Colorado
Western Kentucky,Tyson Helton,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Florida,Oklahoma,Cincinnati,Georgia,Iowa State,Indiana,Coastal Carolina,Northwestern,North Carolina,Iowa,USC,BYU,Miami,Louisiana,Texas,Oklahoma State,NC State,San Jose State,Tulsa,Colorado
Texas,Tom Herman,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Oklahoma,Cincinnati,Iowa State,Florida,Georgia,Indiana,Northwestern,Coastal Carolina,North Carolina,Iowa,BYU,Miami,Texas,Louisiana,Oregon,USC,Oklahoma State,Tulsa,San Jose State,Colorado
Louisiana Tech,Skip Holtz,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Cincinnati,Indiana,Oklahoma,Georgia,Coastal Carolina,Florida,Northwestern,North Carolina,BYU,Iowa,Iowa State,USC,Miami,Louisiana,Liberty,San Jose State,Oklahoma State,NC State,Tulsa,Texas
East Carolina,Mike Houston,Alabama,Clemson,Notre Dame,Ohio State,Cincinnati,Texas A&M,Oklahoma,Georgia,Indiana,Northwestern,Coastal Carolina,BYU,North Carolina,Florida,Miami,Louisiana,Iowa State,San Jose State,Iowa,Tulsa,USC,Oklahoma State,NC State,Army,Oregon
